date,daily_avg_temp,year
2016-04-01,-0.2791666666666667,2016
2016-04-02,-0.08750000000000001,2016
2016-04-03,1.8958333333333333,2016
2016-04-04,2.1999999999999997,2016
2016-04-05,2.6166666666666667,2016
2016-04-06,2.75,2016
2016-04-07,4.543478260869565,2016
2016-04-08,3.466666666666667,2016
2016-04-09,2.1750000000000003,2016
2016-04-10,0.75,2016
2016-04-11,1.9875,2016
2016-04-12,1.4791666666666667,2016
2016-04-13,-0.4875,2016
2016-04-14,-3.2125,2016
2016-04-15,0.4625000000000001,2016
2016-04-16,3.7458333333333336,2016
2016-04-17,4.554166666666666,2016
2016-04-18,1.9875,2016
2016-04-19,1.5541666666666665,2016
2016-04-20,1.8791666666666667,2016
2016-04-21,-0.0375,2016
2016-04-22,1.7416666666666665,2016
2016-04-23,-0.11666666666666665,2016
2016-04-24,0.5291666666666667,2016
2016-04-25,2.433333333333333,2016
2016-04-26,4.283333333333333,2016
2016-04-27,11.075000000000001,2016
2016-04-28,7.295833333333333,2016
2016-04-29,8.041666666666666,2016
2016-04-30,3.391666666666667,2016
2016-05-01,5.870833333333334,2016
2016-05-02,6.429166666666667,2016
2016-05-03,7.325,2016
2016-05-04,7.379166666666666,2016
2016-05-05,6.3999999999999995,2016
2016-05-06,9.070833333333333,2016
2016-05-07,8.983333333333333,2016
2016-05-08,9.487499999999999,2016
2016-05-09,7.979166666666667,2016
2016-05-10,6.7749999999999995,2016
2016-05-11,7.1000000000000005,2016
2016-05-12,8.6875,2016
2016-05-13,7.279166666666666,2016
2016-05-14,7.7124999999999995,2016
2016-05-15,8.479166666666666,2016
2016-05-16,9.5,2016
2016-05-17,8.4,2016
2016-05-18,6.895833333333333,2016
2016-05-19,8.0,2016
2016-05-20,7.995833333333334,2016
2016-05-21,12.9625,2016
2016-05-22,10.1875,2016
2016-05-23,13.716666666666667,2016
2016-05-24,12.208333333333334,2016
2016-05-25,12.1625,2016
2016-05-26,13.775,2016
2016-05-27,12.991666666666667,2016
2016-05-28,12.950000000000001,2016
2016-05-29,13.345833333333333,2016
2016-05-30,14.704166666666666,2016
2016-05-31,17.591666666666665,2016
2016-06-01,15.866666666666667,2016
2016-06-02,15.9125,2016
2016-06-03,13.612499999999999,2016
2016-06-04,9.625,2016
2016-06-05,8.35,2016
2016-06-06,9.270833333333334,2016
2016-06-07,10.7875,2016
2016-06-08,8.341666666666667,2016
2016-06-09,6.116666666666667,2016
2016-06-10,9.3125,2016
2016-06-11,9.108333333333333,2016
2016-06-12,10.854166666666666,2016
2016-06-13,11.954166666666666,2016
2016-06-14,11.458333333333334,2016
2016-06-15,13.416666666666666,2016
2016-06-16,16.130434782608695,2016
2016-06-17,15.066666666666668,2016
2016-06-18,16.233333333333334,2016
2016-06-19,13.579166666666666,2016
2016-06-20,12.879166666666668,2016
2016-06-21,14.266666666666666,2016
2016-06-22,14.424999999999999,2016
2016-06-23,15.833333333333334,2016
2016-06-24,16.333333333333332,2016
2016-06-25,16.041666666666668,2016
2016-06-26,17.425,2016
2016-06-27,19.004166666666666,2016
2016-06-28,16.3,2016
2016-06-29,17.675,2016
2016-06-30,17.608333333333334,2016
