date,daily_avg_temp,year
2015-04-01,1.9166666666666667,2015
2015-04-02,0.85,2015
2015-04-03,0.3958333333333333,2015
2015-04-04,2.345833333333333,2015
2015-04-05,2.4250000000000003,2015
2015-04-06,1.1083333333333334,2015
2015-04-07,3.3625000000000003,2015
2015-04-08,2.5708333333333333,2015
2015-04-09,2.566666666666667,2015
2015-04-10,1.9166666666666667,2015
2015-04-11,1.2791666666666666,2015
2015-04-12,6.045833333333333,2015
2015-04-13,3.9583333333333335,2015
2015-04-14,3.766666666666667,2015
2015-04-15,1.3125,2015
2015-04-16,2.370833333333333,2015
2015-04-17,2.8708333333333336,2015
2015-04-18,1.7125000000000001,2015
2015-04-19,3.1374999999999997,2015
2015-04-20,1.8499999999999999,2015
2015-04-21,2.8125,2015
2015-04-22,3.8874999999999997,2015
2015-04-23,1.9541666666666666,2015
2015-04-24,2.6750000000000003,2015
2015-04-25,1.9708333333333332,2015
2015-04-26,4.795833333333333,2015
2015-04-27,3.420833333333333,2015
2015-04-28,2.316666666666667,2015
2015-04-29,4.0,2015
2015-04-30,2.5500000000000003,2015
2015-05-01,6.6000000000000005,2015
2015-05-02,6.616666666666667,2015
2015-05-03,2.4583333333333335,2015
2015-05-04,3.029166666666667,2015
2015-05-05,7.808333333333334,2015
2015-05-06,11.154166666666667,2015
2015-05-07,10.700000000000001,2015
2015-05-08,10.075000000000001,2015
2015-05-09,6.425,2015
2015-05-10,7.041666666666667,2015
2015-05-11,7.283333333333334,2015
2015-05-12,8.5,2015
2015-05-13,7.554166666666667,2015
2015-05-14,5.704166666666667,2015
2015-05-15,4.904166666666667,2015
2015-05-16,5.7250000000000005,2015
2015-05-17,7.6000000000000005,2015
2015-05-18,6.470833333333334,2015
2015-05-19,6.566666666666666,2015
2015-05-20,6.295833333333333,2015
2015-05-21,7.566666666666666,2015
2015-05-22,9.299999999999999,2015
2015-05-23,9.258333333333335,2015
2015-05-24,7.404166666666666,2015
2015-05-25,8.645833333333334,2015
2015-05-26,10.158333333333333,2015
2015-05-27,10.7125,2015
2015-05-28,9.762500000000001,2015
2015-05-29,10.950000000000001,2015
2015-05-30,10.85,2015
2015-05-31,12.529166666666667,2015
2015-06-01,10.700000000000001,2015
2015-06-02,11.308333333333332,2015
2015-06-03,9.4625,2015
2015-06-04,9.904166666666667,2015
2015-06-05,10.029166666666667,2015
2015-06-06,10.666666666666666,2015
2015-06-07,9.299999999999999,2015
2015-06-08,10.133333333333333,2015
2015-06-09,10.316666666666666,2015
2015-06-10,10.4,2015
2015-06-11,10.504166666666666,2015
2015-06-12,10.816666666666668,2015
2015-06-13,10.683333333333332,2015
2015-06-14,11.416666666666666,2015
2015-06-15,9.045833333333333,2015
2015-06-16,9.470833333333333,2015
2015-06-17,9.970833333333333,2015
2015-06-18,12.370833333333332,2015
2015-06-19,12.420833333333334,2015
2015-06-20,14.387500000000001,2015
2015-06-21,14.158333333333333,2015
2015-06-22,17.416666666666668,2015
2015-06-23,13.895833333333334,2015
2015-06-24,14.225,2015
2015-06-25,12.558333333333332,2015
2015-06-26,12.283333333333333,2015
2015-06-27,13.15,2015
2015-06-28,13.725,2015
2015-06-29,13.704166666666666,2015
2015-06-30,14.841666666666667,2015
